"","NAME","ISO_A3","MgC_ha_yr_max"
"54","Congo","COG",4.98145312277481
"129","Liberia","LBR",4.91901945669008
"89","Ghana","GHA",4.85962182476783
"164","Nigeria","NGA",4.85112331033124
"64","Côte d'Ivoire","CIV",4.82488362338124
"85","Gabon","GAB",4.77524905652482
"230","Togo","TGO",4.7673700916832
"220","Suriname","SUR",4.63544841023358
"38","Brunei","BRN",4.59256884284976
"74","Eq. Guinea","GNQ",4.58860942107355
"137","Malaysia","MYS",4.55895446771781
"201","Singapore","SGP",4.55454777495779
"47","Central African Rep.","CAF",4.50810923679248
"44","Cameroon","CMR",4.47560455987426
"26","Belize","BLZ",4.43643525185939
"65","Dem. Rep. Congo","COD",4.36812227244369
"27","Benin","BEN",4.28149895072234
"200","Sierra Leone","SLE",4.24586885311049
"99","Guyana","GUY",4.22141095950671
"178","Philippines","PHL",4.2167502973161
"186","Rwanda","RWA",4.1574953276442
"52","Colombia","COL",4.1438296758636
"108","Indonesia","IDN",4.09612403102543
"174","Panama","PAN",3.96136239853935
"175","Papua New Guinea","PNG",3.94703871936136
"241","Uganda","UGA",3.90480084448921
"41","Burundi","BDI",3.81175677363732
"250","Venezuela","VEN",3.6804892123656
"232","Trinidad and Tobago","TTO",3.68003737944149
"205","Solomon Is.","SLB",3.61078812774924
"43","Cambodia","KHM",3.61044916138594
"125","Laos","LAO",3.54636552829153
"95","Guatemala","GTM",3.53694840247164
"57","Costa Rica","CRI",3.47236823344774
"227","Tanzania","TZA",3.46400664694521
"71","Ecuador","ECU",3.43668294838678
"213","Sri Lanka","LKA",3.42459130374482
"35","Brazil","BRA",3.41791659946762
"77","Ethiopia","ETH",3.39203675706163
"80","Fiji","FJI",3.37759329703684
"160","New Caledonia","NCL",3.37140997117741
"251","Vietnam","VNM",3.36658245796889
"248","Vanuatu","VUT",3.34829416382978
"97","Guinea","GIN",3.33360854458701
"182","Puerto Rico","PRI",3.31460708121343
"115","Jamaica","JAM",3.31350743373093
"228","Thailand","THA",3.21426665985753
"229","Timor-Leste","TLS",3.18380705053827
"100","Haiti","HTI",3.17658071260607
"59","Cuba","CUB",3.10696563469356
