"","NAME","ISO_A3","MgC_ha_yr_min"
"54","Congo","COG",2.70926773085325
"129","Liberia","LBR",2.67076818420838
"164","Nigeria","NGA",2.64235473779561
"89","Ghana","GHA",2.60105759257193
"64","Côte d'Ivoire","CIV",2.59051814734756
"85","Gabon","GAB",2.58224171923515
"230","Togo","TGO",2.56351594147461
"74","Eq. Guinea","GNQ",2.50734047273761
"201","Singapore","SGP",2.50233228249971
"220","Suriname","SUR",2.48930401233087
"38","Brunei","BRN",2.48067043864504
"137","Malaysia","MYS",2.44021918032639
"47","Central African Rep.","CAF",2.41375049213148
"44","Cameroon","CMR",2.4075984666214
"26","Belize","BLZ",2.36786909172336
"27","Benin","BEN",2.31184298685721
"65","Dem. Rep. Congo","COD",2.30279176945364
"200","Sierra Leone","SLE",2.26746864762465
"99","Guyana","GUY",2.25297085999232
"52","Colombia","COL",2.22352267965779
"178","Philippines","PHL",2.19168258561033
"175","Papua New Guinea","PNG",2.13729825607507
"174","Panama","PAN",2.12808313590056
"108","Indonesia","IDN",2.1193341541847
"186","Rwanda","RWA",2.06370747670609
"241","Uganda","UGA",2.00510730724166
"41","Burundi","BDI",1.97896951302102
"232","Trinidad and Tobago","TTO",1.97870052889538
"205","Solomon Is.","SLB",1.95529530071577
"250","Venezuela","VEN",1.93359275144918
"125","Laos","LAO",1.9121769199397
"43","Cambodia","KHM",1.90853284293127
"95","Guatemala","GTM",1.90697625723565
"213","Sri Lanka","LKA",1.86729920498187
"57","Costa Rica","CRI",1.86128738669968
"227","Tanzania","TZA",1.85552776647714
"71","Ecuador","ECU",1.84485277525721
"248","Vanuatu","VUT",1.82551251062382
"97","Guinea","GIN",1.80841302070011
"182","Puerto Rico","PRI",1.78416616225063
"35","Brazil","BRA",1.7786511119195
"251","Vietnam","VNM",1.77190442981152
"160","New Caledonia","NCL",1.76282416288971
"80","Fiji","FJI",1.75127501230664
"228","Thailand","THA",1.75113653331012
"115","Jamaica","JAM",1.74225063383558
"100","Haiti","HTI",1.70891294596135
"77","Ethiopia","ETH",1.69656025694342
"103","Hong Kong","HKG",1.64828811585409
"70","Dominican Rep.","DOM",1.62425707366474
