"","Country.code","Country","Party.grouping","NDC1.type","NDCX.type","NDC1.Conditionality","NDCX.Conditionality","NDC1...change.E","NDCX...change.E","X2015.E.per.capita..tonnes.CO2e.","X2019.E.per.capita..tonnes.CO2e.","X2015.E..GDP","X2019.E..GDP","Vulnerability.2015","Vulnerability.2019","X2015.GDP.per.capita..2015.US..","X2019.GDP.per.capita","NR.rent.GDP.2015","NR.rent.GDP.2019","NAME","Mg_Carbon_Yr_3_min","Mg_Carbon_Yr_4_min","Mg_Carbon_Yr_5_min","Forested_Area_HVFE_ha_3_min","Forested_Area_HVFE_ha_4_min","Forested_Area_HVFE_ha_5_min","Restorable_Area_HVFE_ha_3_min","Restorable_Area_HVFE_ha_4_min","Restorable_Area_HVFE_ha_5_min","MgC_ha_yr_3_min","MgC_ha_yr_4_min","MgC_ha_yr_5_min","Mg_Carbon_Yr_3_max","Mg_Carbon_Yr_4_max","Mg_Carbon_Yr_5_max","Mg_Carbon_Yr_6_max","Forested_Area_HVFE_ha_3_max","Forested_Area_HVFE_ha_4_max","Forested_Area_HVFE_ha_5_max","Forested_Area_HVFE_ha_6_max","Restorable_Area_HVFE_ha_3_max","Restorable_Area_HVFE_ha_4_max","Restorable_Area_HVFE_ha_5_max","Restorable_Area_HVFE_ha_6_max","MgC_ha_yr_3_max","MgC_ha_yr_4_max","MgC_ha_yr_5_max","MgC_ha_yr_6_max","Mg_Carbon_Yr_total_min","Mg_Carbon_Yr_total_max","MgC_ha_yr_min","MgC_ha_yr_max","Restorable_Area_HVFE_ha_min","Restorable_Area_HVFE_ha_max","eu","fwc_country","GtCO2_year","count_ndc_type","NDC_Type_Simple","concat","absred_fwc"
"1","AFG","Afghanistan","ASIA","B","","CON","","34.7%","",0.856,0.852,1.526,1.546,0.586887213,0.591866458,566.8811327,559.1409569,0.469916949,0.682287828,"Afghanistan",56875.9888298407,21755.4674167943,17487.0328764887,281142.338432702,118081.512834178,30296.9926562317,255228.532786499,106816.564291186,22323.004595547,0.222843379652298,0.203671289758844,0.783363762778467,226332.607107774,86628.0615720721,13489.9662757343,6021.48912868773,281119.932874328,117472.066021562,24225.7136978712,9123.07997603023,255209.881551508,106281.614242383,17262.745049833,7719.04015460691,0.886848917180717,0.815080408682074,0.781449661498928,0.780082627902118,96118.4891231237,332472.124084268,0.403292810729869,0.81586540381596,384368.101673232,386473.280998331,"Non-EU","Non-FWC",0.25971303693712,21,"Other","Other_Non-FWC","N"
"2","AGO","Angola","OPEC","B","B","BOTH","BOTH","-53.0%","-60.2%",7.326,6.47,1.742,1.857,0.50174754,0.509933072,3217.339244,2666.253919,13.30567489,28.89785906,"Angola",461.380088954583,5554.56970995214,9236.6085289316,21806.8512257087,182209.825929588,33851.1238493045,384.980572496648,9433.34201765514,3816.21263644887,1.19845031649902,0.588823102094293,2.42036002939464,1528.3138782628,20482.1826621366,2991.32719763258,19507.8766948639,21806.7621333564,177448.418277876,16858.4211065693,35222.8017266655,384.980572496648,8186.29809587976,1229.67485729408,8108.80110095169,3.96984675967281,2.50200791887184,2.43261637813352,2.40576584035023,15252.5583278383,44509.7004328959,1.40254448266265,2.8275592242571,13634.5352266007,17909.7546266222,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"3","ALB","Albania","EURP","B","B","UNC","UNC","-43.7%","23.8%",2.856,3.364,0.723,0.746,0.394773273,0.394314612,3952.803574,4543.38771,1.734861868,1.634973785,"Albania",24368.8109227409,6500.50415791983,2699.14812492313,110762.915763771,31236.4924952799,6553.8088679146,56057.5254560464,14989.836352067,2199.33118081853,0.434710785474254,0.43366078222885,1.22725860864601,69614.6401942727,18508.1059168063,2167.84348673223,811.590660418883,110738.107079677,31045.5710730922,4654.2757855308,2701.69824279938,56051.273468583,14939.1043085408,1770.21641094786,654.050747677026,1.24198141962452,1.23890331940618,1.22462060193616,1.24086802637469,33568.4632055839,91102.1802582301,0.698543392116371,1.23659334183538,73246.6929889319,73414.6449357487,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"4","AND","Andorra","EURP","B","B","UNC","UNC","-46.8%","-46.8%",5.594,4.987,0.144,0.13,NA,NA,38885.54859,39413.80939,0,0,"Andorra",5882.80541952339,1205.35080016773,454.31091885048,24085.8893795643,5543.93855017968,1412.79392184604,11251.659433715,2322.03447964508,308.20777806892,0.52283891582213,0.51909255040518,1.47404105664358,16807.1649367373,3441.91845819336,424.80855954327,37.8822738841559,24082.7724878468,5512.7809029568,1038.23911447064,494.541398549759,11251.1288988578,2320.64275712311,286.938216911693,27.3654020629883,1.49382031686114,1.48317462807601,1.48048790473249,1.38431270978443,7542.4671385416,20711.7742283581,0.838657507623629,1.46044888986352,13881.901691429,13886.0752749556,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"5","ARE","United Arab Emirates","OPEC","D","B","UNC","UNC","42.9%","-5.7%",27.96,22.966,0.693,0.53,0.376042875,0.371837762,41525.1389,43785.41727,14.04680896,16.895899,"United Arab Emirates",0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,"Non-EU","FWC",0.412417782419776,22,"BAU Reduction","BAU Reduction_FWC","N"
"6","ARG","Argentina","LACA","E","E","BOTH","UNC","27.9%","-7.6%",8.892,8.469,0.593,0.61,0.381674505,0.382651315,13789.06042,12716.2242,1.116774935,2.166688387,"Argentina",561640.452989218,275155.70128257,296823.773961576,2925891.23304797,1852070.27986468,612079.280512284,1211277.02164685,570814.01557769,187509.790151642,0.463676304389571,0.482040899090573,1.58297747398432,1662631.96672761,825388.373404877,192151.687685117,262192.907812386,2921732.9650073,1802272.85109387,390949.876354589,416070.410953084,1210220.18858766,553153.361830733,122172.139120995,161238.1586133,1.37382600489248,1.49215105675783,1.5727946573385,1.62612194326287,1133619.92823336,2942364.93562999,0.842898225821488,1.51622341556292,1969600.82737618,2046783.84815269,"Non-EU","Non-FWC",0.01773140039783,6,"Other","Other_Non-FWC","N"
"7","ARM","Armenia","CISP","H","A","CON","CON","51.8%","26.7%",3.478,4.214,0.951,0.93,0.370730331,0.367743514,3666.141822,4561.967799,0.760031512,2.201001669,"Armenia",106188.472623236,42738.2703528122,19585.1475410517,536411.673978836,202589.379682859,39960.5681273966,372921.849906598,150336.978865224,23976.5611030295,0.284747253747218,0.284283152923585,0.816845562501332,303102.177519333,120879.993750617,13650.9838720178,10870.1511011405,536324.943730435,200496.650790962,26339.5075050328,24031.7147660259,372871.522973498,149166.877994142,16760.0184197777,13156.3786800011,0.81288636660214,0.810367525124204,0.814496949234192,0.826226681789277,168511.8905171,448503.306243108,0.461958656390712,0.815994380687453,547235.389874851,551954.798067419,"Non-EU","Non-FWC",0.0722686888013452,24,"Absolute Reduction","Absolute Reduction_Non-FWC","N"
"8","ATG","Antigua and Barbuda","SIDS","D","D","CON","CON","16.6%","16.6%",6.539,6.948,0.438,0.39,0.475387043,0.465640174,15985.54114,18357.67882,0,0,"Antigua and Barb.",45.8835222432118,70.3938721279175,46.984446946325,1289.9173577942,1520.4568916979,415.333893124353,59.6452086486816,136.499252758789,25.8033331361299,0.769274234808566,0.515708846057291,1.8208673545565,146.827271178278,209.284351601377,18.9863375659374,222.37823972521,1289.9173577942,1420.89617981436,338.383174771082,278.978000396727,59.6452086486816,110.222090966797,10.1015145753389,126.352495373536,2.46167755138742,1.89875141875526,1.87955354856283,1.75998296723617,163.261841317454,597.476200070802,1.03528347847412,1.99999137148542,221.947794543601,306.321309564353,"Non-EU","Non-FWC",0.0740360808639353,8,"Other","Other_Non-FWC","N"
"9","AUS","Australia","OECD","A","A","UNC","UNC","-13.0%","-13.0%",21.989,20.182,0.417,0.38,0.314161195,0.312790792,56758.8692,59000.73544,3.237654745,5.748861265,"Australia",305744.935697502,1371072.94134598,1277981.7714868,5538879.27029155,8289663.22095622,2502212.09223068,671462.455158919,3723090.04897566,1179611.07313232,0.455341818963116,0.368262095009817,1.08339248468842,858817.675916495,3448373.67186619,598012.662385666,3542319.57275696,5352406.17214278,7497793.06996721,1211860.80707325,5321030.01949411,662853.334621354,3258760.6287744,527170.73351547,3243715.86509343,1.29563755820446,1.05818563088603,1.1343813765946,1.09205606165352,2954799.64853028,8447523.58292531,0.635665466220452,1.14506515683465,5574163.5772669,7692500.56200465,"Non-EU","FWC",0.770175719654716,8,"Absolute Reduction","Australia","Y"
"10","AZE","Azerbaijan","CISP","A","","UNC","","-26.6%","",6.008,6.371,1.11,1.21,0.379156041,0.3795268,5500.503646,5348.453189,14.44399979,23.43490541,"Azerbaijan",163755.027465935,73506.3577602283,44043.112870056,987775.448453485,407671.530249654,97622.2942717442,564751.155764999,255027.542467114,53139.3699955395,0.289959614591875,0.288229094979837,0.828822638916362,467410.937041863,204317.615812942,28075.3034307988,44055.7453759923,987538.773849362,398359.701708493,60478.6558317024,87822.5688039918,564587.578997522,249415.965935416,34042.4515465556,50329.6736464119,0.827880304897594,0.81918418913827,0.824714500728707,0.875343354807013,281304.498096219,743859.601661596,0.469003782829358,0.836780587392896,872918.068227652,898375.670125906,"Non-EU","Non-FWC",0.25971303693712,21,"Other","Other_Non-FWC","N"
