NAME,ISO_A3,Mg_Carbon_Yr_total_min
Brazil,BRA,54599524.03
China,CHN,36589487.84
India,IND,31346623.67
United States of America,USA,9193764.359
Mexico,MEX,9052156.64
Madagascar,MDG,8741176.296
Thailand,THA,8469545.829
Russia,RUS,8094245.268
Indonesia,IDN,7579750.497
Colombia,COL,7421347.527
Peru,PER,6685048.208
Myanmar,MMR,6013215.519
Bolivia,BOL,3851439.198
Vietnam,VNM,3726910.743
Iran,IRN,3617314.033
Turkey,TUR,3534996.43
Canada,CAN,3512771.123
Venezuela,VEN,3485739.838
Philippines,PHL,3442958.521
Chile,CHL,3356568.202
Cambodia,KHM,3137781.479
Dem. Rep. Congo,COD,3079480.933
France,-99,3025252.018
Bangladesh,BGD,3001850.479
Australia,AUS,2954799.649
United Kingdom,GBR,2931120.012
Germany,DEU,1867537.149
Poland,POL,1722143.648
Mozambique,MOZ,1705474.932
Ukraine,UKR,1698236.889
Ecuador,ECU,1634779.161
New Zealand,NZL,1572151.235
Tanzania,TZA,1400069.749
Laos,LAO,1362105.87
Cuba,CUB,1332382.089
Côte d'Ivoire,CIV,1218583.796
Nigeria,NGA,1211365.784
Somalia,SOM,1163634.137
Argentina,ARG,1133619.928
Kenya,KEN,1104061.176
Mongolia,MNG,1078339.362
North Korea,PRK,1046628.26
Ireland,IRL,1009822.454
Romania,ROU,1008993.557
Guatemala,GTM,966467.4813
Papua New Guinea,PNG,962547.4741
Nepal,NPL,908539.0234
Paraguay,PRY,902441.0973
Belarus,BLR,845527.4221
Nicaragua,NIC,818477.1977
